id,creatorId,title,content,type,category,thumbnail,mediaUrl,isLocked,isPremium,price,currency,likesCount,commentsCount,viewsCount,createdAt,updatedAt,mediaUrl_backup,thumbnail_backup,imageAspectRatio,isSellable,minSubscriptionTier
cmd7ohpy00001lc6yczqrpfni,cmbymuez00004qoe1aeyoe7zf,Test Post After Server Restart,Testing POST method after restarting server with updated schema,text,General,,,f,f,,SOL,0,0,0,2025-07-17 17:43:01.273,2025-07-17 17:43:01.273,,,,f,
cmc0132pr0022qoub6hnevd6b,cmbzzm6md001uqoub6s6hhnq6,THE MOST DANGEROUS HACKERS YOU'VE NEVER HEARD OF,"THE MOST DANGEROUS HACKERS YOU'VE NEVER HEARD OF\\nA new article on Wired came out with this title, and I decided to tell you a little about them\\n\\n1. TraderTraitor 🇰🇵 North Korea\\n\\nThat very Bybit hack for almost $1.5 billion was their doing. TraderTraitor creates fake accounts (or uses real hacked ones) and literally tracks every step of the right employee in order to send a phishing letter in time. It is considered an A+ team in the DPRK\\n\\n2. Gamaredon and Black Basta 🇷🇺 Russia\\n\\nGamaredon is much less technologically advanced (compared to the DPRK), but they win with quantity and 24/7 work.\\n\\nOne (!) computer is infected with 80-120 variants of malware in order to destroy the infrastructure\\n\\nBlack Basta is aimed at the West. Steal data > encrypt and threaten to leak > demand ransom\\n\\n(I didn't hold a candle, but all these stories about hacking hospitals, when all the equipment there died, are attributed to them)\\n\\n3. CyberAv3ngers 🇮🇷 Iran\\n\\nThey called themselves Hacktivists, but in addition to Jews, they terrorize American oil and gas companies and others. The US authorities promise 10 million dollars for information about them\\n\\n4. Brass Typhoon and Smishing Triad 🇨🇳 China\\n\\nBrass Typhoon attacks everything American - from the farmer's application for cow milking (not a joke) to shipping and logistics\\n\\nAnd Taiwan too - source code and designs of microcircuits, power grids, and so on\\n\\nSmishing Triad act differently. Smishing is a mix of SMS and phishing emails, they pretend to be companies (post office, tax office, utility companies, etc.) and steal money",image,Tech,/media/thumbposts/thumb_tech_1752770135_6522.webp,/media/posts/post_tech_1752770139_5216.webp,f,f,,SOL,3,0,0,2025-06-17 04:33:41.248,2025-07-18 03:50:12.625,,,,f,
cmc33peil001lqodmpluc0rg4,cmbvtqy84000gqowpvlo2r5tp,HISTORY:  Lancia's Genius Rally Tactics. Salt trucks,"On the 1983 Monte Carlo Rally the majority of the route was dry, with sporadic sections of snow put the rear wheel drive Lancia 037's at a significant disadvantage. Cesare Fiorio the teams manager ordered 300 tons of salt from Italy and had it spread over the stages, melting the snow and enabling the use of slicks. The other teams such as Audi did not know about this and went out on snow tires to find 90% of the stages on tarmac. Fiorio's tactic had worked out and gave the Lancia's an 11 minute advantage by the end of the event.\\nRemote video URL\\n\\nLancia first unleashed this tactic on a snowy 1983 Monte Carlo Rally, as a way of getting the two-wheel drive 037 to compete with the four-wheel drive Audi Quattro. After just four kilometres the factory Lancias stopped to change soft rear Tarmac tyres for studded ice tyres – all of which had been specially developed for the 037 by Pirelli. The stop cost around one minute but was reckoned to be just about worth doing, although it was a marginal call. Lancia team supremo Cesare Fiorio was very fond of the tactic though: it created headlines and was completely outside of the box, highlighting the creative approach that Lancia took to its rally campaign. The fastest stop from the factory team was 49 seconds for Markku Alen: he was the quickest Lancia on the 26-kilometre Pinet to Uriage les Bains stage, where the pit stops were first tried, setting fifth fastest time overall. The times soon improved over the years with a 35 second stop in 1985\\n\\nWalter Rohrl, whose stop was a bit less slick, said: ""We had a big discussion about it first but we had to do it: without the studs we wouldn't have got up the hill. I was first and it was horrible just sitting there in the middle of the stage for a minute, doing nothing. There was a fantastic atmosphere though with all the spectators and journalists, just like a pit lane!""\\nIn the end, Rohrl and Alen finished first and second on the 1983 Monte, defeating the Audi Quattro of Stig Blomqvist (which was third) by nearly five minutes thanks to some inspired driving and those amazing pit stops.\\nLancia continued to use this tactic right up through the Group B period and into the Group A period.",image,Technology,/media/thumbposts/thumb_trading_1752770314_4856.webp,/media/posts/post_gaming_1752770406_1693.webp,f,f,,SOL,4,0,0,2025-06-19 08:10:20.733,2025-07-18 03:50:12.8,,,,f,
cmd8y0xgv000gwbr0vrsial9b,cmbv53b7h0000qoe0vy4qwkap,Premium,Premium,image,Art,/posts/images/thumb_365baf6a89476d499c2eb8644acede87.webp,/posts/images/365baf6a89476d499c2eb8644acede87.JPG,t,f,,SOL,0,0,0,2025-07-18 14:57:40.207,2025-07-18 14:57:40.207,,,1.330,f,premium
cmd7ol9tv0005lc6yeqgzr85g,cmbymuez00004qoe1aeyoe7zf,Final Test After Schema Fix,Testing after fixing all Prisma schema issues,text,Tech,,,f,f,,SOL,0,0,0,2025-07-17 17:45:47.011,2025-07-17 17:45:47.011,,,,f,
cmd8y2d3h000iwbr015qoabtm,cmbv53b7h0000qoe0vy4qwkap,Vip,Vip,image,Art,/posts/images/thumb_4ebaa29d1704bd3c33e7e10b28a06ab0.webp,/posts/images/4ebaa29d1704bd3c33e7e10b28a06ab0.JPG,t,f,,SOL,0,0,0,2025-07-18 14:58:47.117,2025-07-18 14:58:47.117,,,1.330,f,vip
cmbxgs54u000tqohv8n8se1ml,cmbvsuam7000fqowpr31a8hs9,Bullish,🇰🇷 SOUTH KOREA TO HOST BITCOIN AND CRYPTO PUBLIC HEARING ON TUESDAY,image,Art,/media/thumbposts/thumb_art_1752770000_7730.webp,/media/posts/post_art_1752769900_1405.webp,f,f,,SOL,4,0,0,2025-06-15 09:29:46.494,2025-07-18 03:50:11.386,,,,f,
cmbvistlx0006qo1tf82b1418,cmbvimbd80002qo1ttm0tc8rl,Good morning,Walking,image,Lifestyle,/media/thumbposts/thumb_lifestyle_1752770195_5527.webp,/media/posts/post_lifestyle_1752770222_8268.webp,f,f,,SOL,3,0,0,2025-06-14 00:50:45.093,2025-07-18 03:50:12.304,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/36329315ff23c5b1bc362d78e6f08915.jpeg,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/36329315ff23c5b1bc362d78e6f08915.jpeg,,f,
cmd8y48md000kwbr00qyrr1ut,cmbv53b7h0000qoe0vy4qwkap,Paid,Paid 0.05 SOL,image,Art,/posts/images/thumb_3ac1bf1d845eee7fa24e0de796a9f79e.webp,/posts/images/3ac1bf1d845eee7fa24e0de796a9f79e.JPG,t,f,0.05,SOL,0,0,0,2025-07-18 15:00:14.629,2025-07-18 15:00:14.629,,,1.330,f,
cmbv82txa0001qo13gxurkfe1,cmbv53b7h0000qoe0vy4qwkap,🛠️ Hour 1 Report: Only Crashed Twice 🚀,"We've been live for a whole hour now.\\nFonana has already broken two times — which, honestly, is better than expected.\\n\\nBut don't worry, captain's still on deck.\\nI'm hotpatching faster than a crypto dev during a rugpull.\\nIf it breaks again… it builds character.\\n\\nStay weird, keep posting, and if you see a bug — name it and shame it.\\nI'm watching everything like a raccoon in a server room.",image,Art,/media/thumbposts/thumb_art_1752769950_7110.webp,/media/posts/post_art_1752770023_1192.webp,f,f,,SOL,0,2,0,2025-06-13 19:50:36.287,2025-07-18 03:50:11.204,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/712763c5d56f1b3581740a4c9dfe290d.jpg,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/712763c5d56f1b3581740a4c9dfe290d.jpg,,f,
